transaction_id,consumer_number,account_number,amount,transaction_date,transaction_time,settlement_ref,utr_number,settlement_date,settlement_amount,transaction_status
TXN8516,CN8916,AC8916,5107.01,2026-07-04,08:33:37,SETT2516,UTR2516,2026-07-04,5107.01,SUCCESS
TXN8517,CN8917,AC8917,5514.17,2026-07-04,15:30:09,SETT2517,UTR2517,2026-07-04,5514.17,SUCCESS
TXN8518,CN8918,AC8918,3942.57,2026-07-02,14:49:17,SETT2518,UTR2518,2026-07-02,3942.57,SUCCESS
TXN8519,CN8919,AC8919,1228.46,2026-07-07,13:54:59,SETT2519,UTR2519,2026-07-07,1228.46,SUCCESS
TXN8520,CN8920,AC8920,744.57,2026-07-01,12:26:42,SETT2520,UTR2520,2026-07-01,744.57,SUCCESS
TXN8521,CN8921,AC8921,859.47,2026-07-03,10:10:14,SETT2521,UTR2521,2026-07-03,859.47,SUCCESS
TXN8522,CN8922,AC8922,3366.58,2026-07-06,09:04:55,SETT2522,UTR2522,2026-07-06,3366.58,SUCCESS
TXN8523,CN8923,AC8923,5411.76,2026-07-07,16:01:53,SETT2523,UTR2523,2026-07-07,5411.76,SUCCESS
TXN8524,CN8924,AC8924,929.09,2026-07-05,12:41:24,SETT2524,UTR2524,2026-07-05,929.09,SUCCESS
TXN8525,CN8925,AC8925,5733.05,2026-07-03,14:32:13,SETT2525,UTR2525,2026-07-03,5733.05,SUCCESS
TXN8526,CN8926,AC8926,5978.2,2026-07-01,14:55:41,SETT2526,UTR2526,2026-07-01,5978.2,SUCCESS
TXN8527,CN8927,AC8927,2166.73,2026-07-01,16:51:26,SETT2527,UTR2527,2026-07-01,2166.73,SUCCESS
TXN8528,CN8928,AC8928,1819.44,2026-07-02,09:49:38,SETT2528,UTR2528,2026-07-02,1819.44,SUCCESS
TXN8529,CN8929,AC8929,1306.93,2026-07-05,13:26:50,SETT2529,UTR2529,2026-07-05,1306.93,SUCCESS
TXN8530,CN8930,AC8930,1428.17,2026-07-03,14:51:35,SETT2530,UTR2530,2026-07-03,1428.17,SUCCESS
TXN8531,CN8931,AC8931,3977.27,2026-07-02,17:22:19,SETT2531,UTR2531,2026-07-02,3977.27,SUCCESS
TXN8532,CN8932,AC8932,1365.74,2026-07-06,08:08:57,SETT2532,UTR2532,2026-07-06,1365.74,SUCCESS
TXN8533,CN8933,AC8933,1923.98,2026-07-01,11:37:22,SETT2533,UTR2533,2026-07-01,1923.98,SUCCESS
TXN8534,CN8934,AC8934,4105.37,2026-07-06,17:59:38,SETT2534,UTR2534,2026-07-06,4105.37,SUCCESS
TXN8535,CN8935,AC8935,2702.64,2026-07-01,12:43:08,SETT2535,UTR2535,2026-07-01,2702.64,SUCCESS
TXN8536,CN8936,AC8936,4949.22,2026-07-01,15:54:35,SETT2536,UTR2536,2026-07-01,4949.22,SUCCESS
TXN8537,CN8937,AC8937,2610.6,2026-07-07,08:28:35,SETT2537,UTR2537,2026-07-07,2610.6,FAILED
TXN8538,CN8938,AC8938,5682.37,2026-07-06,11:49:42,SETT2538,UTR2538,2026-07-06,5682.37,SUCCESS
TXN8539,CN8939,AC8939,769.93,2026-07-06,08:01:02,SETT2539,UTR2539,2026-07-06,769.93,SUCCESS
TXN8540,CN8940,AC8940,3845.85,2026-07-04,17:09:19,SETT2540,UTR2540,2026-07-04,3845.85,SUCCESS
TXN8541,CN8941,AC8941,3106.07,2026-07-03,17:30:27,SETT2541,UTR2541,2026-07-03,3106.07,SUCCESS
TXN8542,CN8942,AC8942,3894.28,2026-07-01,16:30:03,SETT2542,UTR2542,2026-07-01,3894.28,SUCCESS
TXN8543,CN8943,AC8943,2821.19,2026-07-02,12:10:23,SETT2543,UTR2543,2026-07-02,2821.19,SUCCESS
TXN9501,CN9501,AC9501,2166.51,2026-07-05,17:10:45,SETT9501,UTR9501,2026-07-05,3659.17,SUCCESS
TXN8545,CN8945,AC8945,5236.76,2026-07-02,18:55:46,SETT2545,UTR2545,2026-07-02,5236.76,SUCCESS
TXN8546,CN8946,AC8946,2791.27,2026-07-01,13:44:40,SETT2546,UTR2546,2026-07-01,2791.27,SUCCESS
TXN8547,CN8947,AC8947,1518.34,2026-07-06,17:07:40,SETT2547,UTR2547,2026-07-06,1518.34,SUCCESS
TXN8548,CN8948,AC8948,3620.64,2026-07-01,12:37:31,SETT2548,UTR2548,2026-07-01,3620.64,SUCCESS
TXN8549,CN8949,AC8949,1786.54,2026-07-01,18:13:22,SETT2549,UTR2549,2026-07-01,1786.54,SUCCESS
TXN8550,CN8950,AC8950,5303.05,2026-07-05,18:14:48,SETT2550,UTR2550,2026-07-05,5303.05,SUCCESS
